emp_no,first_name,birth_date,last_name,gender,salary,to_date
10642,Hirochika,1955-12-19,Narlikar,M,40000,9999-01-01
10653,Otmar,1953-06-16,Feinberg,M,40000,9999-01-01
10671,Parviz,1953-06-12,Rebaine,M,74037,9999-01-01
10676,Valeri,1953-08-26,Danley,F,58226,9999-01-01
10693,Berhard,1953-12-14,Daescu,F,40000,9999-01-01
10702,Bader,1952-11-25,Szemeredi,M,46581,9999-01-01
10004,Chirstian,1954-05-01,Koblick,M,40054,9999-01-01
10718,Adib,1955-12-19,Rullman,M,75473,9999-01-01
10726,Zita,1954-01-11,Minakawa,F,46315,9999-01-01
10009,Sumant,1952-04-19,Peac,F,60929,9999-01-01
10734,Sachar,1954-07-06,Erdi,M,47377,9999-01-01
10018,Kazuhide,1954-06-19,Peha,F,55881,9999-01-01
10745,Poorav,1953-10-23,Ranze,F,40000,9999-01-01
10749,King,1955-08-21,Brendel,M,60829,9999-01-01
10035,Alain,1953-02-08,Chappelet,M,41538,9999-01-01
10767,Monique,1954-02-28,Doering,F,40651,9999-01-01
10768,Ishfaq,1955-06-24,Candan,M,65717,9999-01-01
10778,Selwyn,1953-03-13,Merey,M,64996,9999-01-01
10791,Tadahiko,1954-05-27,Sgarro,M,40000,9999-01-01
10053,Sanjiv,1954-09-13,Zschoche,F,67854,9999-01-01
10795,Supot,1954-12-14,Naudin,M,84206,9999-01-01
10808,Chenxi,1955-09-11,Leijenhorst,M,40000,9999-01-01
10835,Tomoyuki,1952-11-23,Kermarrec,M,40000,9999-01-01
10836,Jianhua,1953-07-15,Leivant,F,65502,9999-01-01
10058,Berhard,1954-10-01,McFarlin,M,52787,9999-01-01
10844,Dipayan,1954-02-03,Koprowski,M,40000,9999-01-01
10847,Theirry,1952-03-04,Danley,M,40000,9999-01-01
10066,Kwee,1952-11-13,Schusler,M,69736,9999-01-01
10848,Fen,1954-07-16,Bratsberg,F,50475,9999-01-01
10067,Claudi,1953-01-07,Stavenow,M,44642,9999-01-01
10878,Lakshmi,1952-06-13,Deville,M,72102,9999-01-01
10879,Muzhong,1953-08-18,Chleq,F,65651,9999-01-01
10070,Reuven,1955-08-20,Garigliano,M,55999,9999-01-01
10883,Shimshon,1952-07-30,Champarnaud,M,40000,9999-01-01
10072,Hironoby,1952-05-15,Sidou,F,40000,9999-01-01
10076,Erez,1952-06-13,Ritzmann,F,47319,9999-01-01
10088,Jungsoon,1954-02-25,Syrzycki,F,65957,9999-01-01
10909,Georgi,1954-11-11,Atchley,M,80935,9999-01-01
10921,Mara,1955-07-20,Bahi,F,72601,9999-01-01
10924,Hironoby,1954-04-27,Atchley,F,84783,9999-01-01
10100,Hironobu,1953-04-21,Haraldson,F,54398,9999-01-01
10927,Gal,1953-03-13,Scallan,M,51819,9999-01-01
10936,Mountaz,1953-04-08,Schicker,F,40000,9999-01-01
10103,Akemi,1953-11-26,Birch,M,68158,9999-01-01
10943,Berna,1955-11-19,Skafidas,M,45890,9999-01-01
10126,Kayoko,1954-08-07,Valtorta,M,40000,9999-01-01
10965,Eckart,1955-07-10,Braunschweig,M,61654,9999-01-01
10969,Premal,1954-09-05,Noriega,M,40000,9999-01-01
10974,Muneo,1952-03-07,Papsdorf,M,56005,9999-01-01
10986,Masako,1954-08-11,Schiper,M,43900,9999-01-01
10129,Armond,1955-12-02,Peir,M,40000,9999-01-01
10988,Chinya,1955-06-24,Deyuan,M,54174,9999-01-01
10989,Sumali,1954-09-08,Candan,F,46406,9999-01-01
10990,Shin,1954-10-22,Foote,M,40000,9999-01-01
10130,Nishit,1955-04-27,Casperson,M,40000,9999-01-01
10134,Diederik,1953-04-15,Siprelle,M,40000,9999-01-01
10138,Perry,1955-04-24,Shimshoni,M,53574,9999-01-01
11009,Alper,1954-08-30,Axelband,F,75111,9999-01-01
11012,Taegyun,1953-09-12,Speckmann,F,72092,9999-01-01
10150,Zhenbing,1955-01-29,Perng,F,70122,9999-01-01
11019,Leon,1954-09-06,Huttel,M,69387,9999-01-01
11021,Srinidhi,1954-07-13,Henders,F,62670,9999-01-01
11027,Remzi,1955-12-13,Cappello,M,40000,9999-01-01
11031,Ottavia,1954-12-20,Walstra,M,71654,9999-01-01
11037,Lansing,1952-05-22,Maliniak,M,40000,9999-01-01
11038,Jinya,1955-10-13,Beidas,M,44993,9999-01-01
11042,Gou,1955-07-13,Breugel,F,40000,9999-01-01
11048,Jaques,1952-10-26,Demke,M,65697,9999-01-01
11050,Elvis,1952-09-23,Katiyar,M,52251,9999-01-01
10153,Heekeun,1955-12-15,Majewski,M,54246,9999-01-01
11051,Przemyslawa,1952-10-06,Erol,F,40000,9999-01-01
10157,Nigel,1954-04-23,Aloisi,M,48770,9999-01-01
11112,Boaz,1954-08-05,Mukaidono,M,40000,9999-01-01
11070,Adib,1952-06-30,Raney,M,40000,9999-01-01
11081,Barry,1952-06-20,Boyle,M,65686,9999-01-01
11085,Hailing,1953-09-08,Thummel,M,66437,9999-01-01
11100,Berna,1955-10-14,Cochrane,M,40000,9999-01-01
11106,Aris,1955-02-23,Iwayama,F,71446,9999-01-01
11113,Shahab,1953-04-28,Peng,F,66401,9999-01-01
11121,Vugranam,1953-02-13,Kakkad,F,40000,9999-01-01
11319,Pranas,1955-06-05,Marrakchi,F,40000,9999-01-01
11320,Atilio,1954-04-13,McAlpine,M,45118,9999-01-01
11322,Nathalie,1952-07-19,Pocchiola,F,43021,9999-01-01
11324,Kauko,1953-11-16,Billingsley,F,54288,9999-01-01
11133,Nalini,1955-12-13,Azulay,M,40000,9999-01-01
11338,Kwangsub,1954-11-03,Hanratty,M,82210,9999-01-01
11134,Sachar,1954-05-15,Rajcani,F,58731,9999-01-01
11339,Flemming,1954-06-05,Massonet,M,40000,9999-01-01
11347,Anneli,1954-12-27,Jonsson,M,41524,9999-01-01
11365,Toshimi,1953-11-17,Shinomoto,M,56463,9999-01-01
11376,Valery,1952-03-10,Suomi,M,46964,9999-01-01
11380,Kenroku,1952-04-23,Pelc,M,53345,9999-01-01
11385,Shiv,1952-03-04,Ullian,M,40000,9999-01-01
11386,Alselm,1954-09-27,Assaf,F,47726,9999-01-01
11393,Junsik,1954-05-17,Junot,M,40000,9999-01-01
11398,Oscar,1953-05-30,Peir,M,44625,9999-01-01
11404,Bedrich,1954-09-15,Borovoy,M,42907,9999-01-01
11415,Sanjiv,1953-10-29,Anido,M,40000,9999-01-01
11421,Josyula,1953-11-07,Msuda,F,52416,9999-01-01
11441,Marlo,1954-11-16,Aingworth,M,67352,9999-01-01
11449,Kotesh,1955-03-30,Asser,M,61434,9999-01-01
11459,Duke,1953-10-14,Suomi,M,40000,9999-01-01
11469,Guttorm,1952-12-01,Giaccio,M,44625,9999-01-01
11137,Hugh,1955-03-17,Luca,M,40000,9999-01-01
11139,Bogdan,1955-10-13,Homond,F,63596,9999-01-01
11146,Ishfaq,1954-06-25,Masand,F,96019,9999-01-01
11148,Zhanqiu,1953-01-23,Botman,F,56344,9999-01-01
11162,Kauko,1953-03-25,Narlikar,F,69873,9999-01-01
11506,Rance,1955-06-16,Picel,F,89747,9999-01-01
11180,Mitsuyuki,1952-11-07,Bojadziev,F,40000,9999-01-01
11509,Aleksander,1954-06-18,Feldhoffer,M,40000,9999-01-01
11513,Otmar,1954-07-16,Mahnke,M,82525,9999-01-01
11515,Ulf,1955-03-03,Basawa,F,70182,9999-01-01
11518,Jinxi,1953-07-21,Oxman,M,40000,9999-01-01
11524,Xiadong,1955-10-26,Standera,M,41081,9999-01-01
11527,Alagu,1952-02-06,Boyle,M,60212,9999-01-01
11528,Zito,1955-04-26,Dolinsky,M,44026,9999-01-01
11197,Tadahiro,1955-05-11,Fordan,M,88741,9999-01-01
11537,DAIDA,1955-06-29,Pehl,M,96023,9999-01-01
11554,Subhash,1955-05-28,Taubenfeld,M,46065,9999-01-01
11555,Kotesh,1955-08-05,Perfilyeva,M,40000,9999-01-01
11204,Diederik,1955-12-15,Covnot,M,40000,9999-01-01
11567,Teiji,1954-07-06,Mitzlaff,M,86261,9999-01-01
11568,Martins,1955-12-01,Fujisaki,M,54673,9999-01-01
11207,Saeed,1955-08-14,Gips,F,49728,9999-01-01
11208,Saniya,1952-05-29,Valtorta,F,83660,9999-01-01
11211,Yurij,1952-12-11,Rissland,M,72668,9999-01-01
11217,Kellie,1954-07-01,Mawatari,M,40000,9999-01-01
11603,Herb,1954-12-07,Swen,F,69180,9999-01-01
11607,Tomokazu,1953-12-03,Foong,F,49584,9999-01-01
11232,Hidefumi,1955-09-03,Crelier,M,43863,9999-01-01
11615,Shem,1955-03-05,Isaak,F,46591,9999-01-01
11624,Adil,1955-05-16,Gammage,M,42001,9999-01-01
11628,Fan,1952-02-14,Malinowski,M,43966,9999-01-01
11240,Kiam,1955-08-12,Condotta,M,61739,9999-01-01
11640,Valeri,1953-10-06,Coorg,M,52520,9999-01-01
11647,Magy,1953-10-13,Nitsche,M,40000,9999-01-01
11249,Randi,1954-10-01,Cyre,M,43324,9999-01-01
11660,Gill,1955-07-19,Stenning,F,65758,9999-01-01
11251,Bezalel,1955-10-16,Chinal,M,69432,9999-01-01
11268,Aimee,1954-05-14,Petersohn,F,40000,9999-01-01
11673,Henk,1954-12-20,Felder,F,40000,9999-01-01
11676,Valeri,1952-04-12,Ferriere,F,43310,9999-01-01
11681,Fumitake,1952-05-15,Benzmuller,F,40000,9999-01-01
11684,Oksana,1953-03-07,Gide,F,68753,9999-01-01
11275,Hitomi,1955-10-18,Eppinger,F,58382,9999-01-01
11696,Dante,1954-10-26,Rothe,M,51633,9999-01-01
11290,Visit,1953-05-07,Dredge,M,65034,9999-01-01
11295,Abdelkader,1953-02-03,Lanzelotte,M,66622,9999-01-01
11853,Zeljko,1952-06-19,Kusakabe,F,61941,9999-01-01
11857,Divier,1955-12-03,Farrag,F,94805,9999-01-01
11864,Pradeep,1952-06-14,Kriebel,F,52517,9999-01-01
11871,Nalini,1953-05-02,Sommen,M,67424,9999-01-01
11872,Cheong,1953-01-17,Riexinger,M,43159,9999-01-01
11894,Mitchel,1954-12-23,Validov,M,56198,9999-01-01
11732,Sanjoy,1955-06-14,Ranft,F,40000,9999-01-01
11735,Amalendu,1955-02-19,Picci,M,40000,9999-01-01
11746,Koichi,1952-05-22,Marrakchi,F,55951,9999-01-01
11751,Jiafu,1953-02-02,Emiris,M,40000,9999-01-01
11897,Cordelia,1952-11-23,Setlzner,M,80049,9999-01-01
11906,Hideo,1955-04-26,Boguraev,F,81324,9999-01-01
11915,Miomir,1954-08-16,Mawatari,M,58042,9999-01-01
11931,Gunilla,1952-10-30,Chiodo,F,73369,9999-01-01
11764,Sanjay,1953-04-22,Anick,F,64875,9999-01-01
11933,Basil,1953-08-15,Erman,M,56130,9999-01-01
11769,Chandrasekaran,1953-07-17,Lampe,M,40000,9999-01-01
11772,Gaurav,1954-06-19,Penz,F,61295,9999-01-01
11949,Martijn,1953-01-27,Harbusch,M,40000,9999-01-01
11983,Jaana,1953-01-04,Hedayat,M,40000,9999-01-01
11797,Chenxi,1954-08-12,Thambidurai,M,88050,9999-01-01
11810,Amabile,1952-12-08,Bhattacharjee,M,41256,9999-01-01
11817,Niranjan,1955-05-25,Markovitch,M,50638,9999-01-01
11832,Arto,1952-05-18,Zlotek,M,40000,9999-01-01
11993,Marit,1955-10-29,Dalphin,M,56505,9999-01-01
11844,Shawna,1953-10-30,Demeyer,M,78049,9999-01-01
12011,Zhilian,1953-12-16,Coorg,F,85833,9999-01-01
12221,Vincent,1955-07-14,Melter,M,56736,9999-01-01
12036,Mads,1953-03-02,Ratzlaff,M,67143,9999-01-01
12037,Arunas,1954-01-11,Katzenelson,M,47805,9999-01-01
12222,Abdelwaheb,1953-03-04,Holburn,F,55840,9999-01-01
12050,Yuchang,1953-06-08,Tchuente,F,46704,9999-01-01
12223,Niteen,1954-07-27,Koyama,F,54459,9999-01-01
12247,Subbu,1952-03-26,Penttonen,F,59183,9999-01-01
12062,Margareta,1954-01-20,Worfolk,M,44199,9999-01-01
12069,Ayonca,1953-12-27,Burnard,M,51928,9999-01-01
12070,Ger,1955-07-23,Shokrollahi,M,50233,9999-01-01
12076,Karlis,1955-03-16,Siprelle,F,75381,9999-01-01
12082,Xinan,1953-09-20,Yamaashi,M,72118,9999-01-01
12089,Bilhanan,1954-06-21,Socorro,M,46288,9999-01-01
12249,Eldridge,1952-09-20,Sadowski,M,70099,9999-01-01
12256,Guadalupe,1955-02-15,Reghbati,F,40000,9999-01-01
12099,Nobuyoshi,1953-01-12,Kuzuoka,M,104610,9999-01-01
12264,Mart,1953-12-30,Pagter,M,51816,9999-01-01
12112,Satyanarayana,1953-07-01,Avouris,M,76538,9999-01-01
12270,Shakhar,1953-08-10,Kornyak,M,52840,9999-01-01
12122,Satoru,1954-06-27,Krone,F,46398,9999-01-01
12123,Xiahua,1954-07-08,Syrzycki,F,64879,9999-01-01
12125,Shounak,1953-04-16,Erman,F,41215,9999-01-01
12272,Behnaam,1955-10-16,Grandbois,F,43811,9999-01-01
12308,Mototsugu,1952-02-17,Cronau,M,58741,9999-01-01
12149,Suebskul,1954-10-25,Grandbois,M,109934,9999-01-01
12159,Shem,1955-08-15,Perly,M,61210,9999-01-01
12311,Susanne,1955-02-11,Lubachevsky,M,40000,9999-01-01
12165,Xiaobin,1952-11-19,Maquelin,F,41951,9999-01-01
12327,DAIDA,1952-05-21,Bruckman,M,67449,9999-01-01
12183,Harngdar,1954-06-29,Iisaku,M,40000,9999-01-01
12192,Feiyu,1954-11-06,Klyachko,F,41625,9999-01-01
12205,Sushant,1955-08-24,Rossi,M,40000,9999-01-01
12206,Barton,1954-11-21,Janetzko,F,40000,9999-01-01
12341,Rasiah,1955-02-13,Luga,M,40000,9999-01-01
12218,Yaghout,1954-08-01,Strooper,M,40000,9999-01-01
12411,Shao,1952-05-31,Ibel,M,97610,9999-01-01
12413,Hugh,1955-06-17,Gadepally,F,53179,9999-01-01
12417,Dannz,1955-11-18,Spelt,F,67342,9999-01-01
12422,Berhard,1954-12-04,Demos,F,71376,9999-01-01
12454,Kerryn,1954-08-21,Farris,F,41347,9999-01-01
12464,Shai,1955-09-08,Milicic,F,50448,9999-01-01
12475,Filipe,1953-03-30,Roison,M,40000,9999-01-01
12487,Mona,1954-04-24,Reghbati,F,40000,9999-01-01
12489,Arnould,1955-01-23,Munck,F,63306,9999-01-01
12490,Jackson,1955-08-08,Muchinsky,F,40000,9999-01-01
12497,Stein,1953-08-26,Penz,M,81191,9999-01-01
12501,Morrie,1954-11-22,Matheson,F,76082,9999-01-01
12504,Adly,1953-01-04,Rosaz,F,40000,9999-01-01
12343,Sorina,1952-10-18,Slaats,M,52134,9999-01-01
12514,Tomofumi,1952-11-14,Melter,M,54241,9999-01-01
12365,Kamakshi,1954-01-21,Bisiani,M,40000,9999-01-01
12528,Conor,1952-11-20,Cincotta,F,40000,9999-01-01
12534,Yongmao,1953-01-31,Gerlach,M,66715,9999-01-01
12541,Shih,1952-04-22,Nanard,M,93105,9999-01-01
12542,Kazuhide,1954-07-26,Bouloucos,F,44176,9999-01-01
12373,Mooi,1953-04-26,Driscoll,F,75986,9999-01-01
12551,Jeane,1954-03-15,Tzvieli,M,40000,9999-01-01
12553,Aral,1954-05-08,Vesna,M,40000,9999-01-01
12395,Sanjit,1955-01-08,Felder,M,66909,9999-01-01
12557,Stafford,1954-01-01,Kopetz,M,41840,9999-01-01
12399,Mihalis,1955-11-15,Luga,M,85582,9999-01-01
12589,Anoosh,1952-11-23,Chleq,M,59441,9999-01-01
12790,Gunilla,1953-02-05,Perl,F,87760,9999-01-01
12596,Breannda,1955-10-10,Roisin,M,40000,9999-01-01
12601,Ghassan,1955-08-16,Simkin,M,41714,9999-01-01
12608,Nectarios,1955-10-27,Mondadori,M,40000,9999-01-01
12635,Xinyu,1952-11-09,Restivo,F,40000,9999-01-01
12638,Yuqun,1954-11-09,Seiwald,F,56677,9999-01-01
12642,Suebskul,1955-09-27,Gips,F,68271,9999-01-01
12795,Masoud,1952-05-06,Fordan,M,56969,9999-01-01
12651,Pragnesh,1952-07-24,Bael,M,75150,9999-01-01
12798,Lillian,1952-05-18,Beeson,F,81145,9999-01-01
12662,Leucio,1952-08-02,Alvarado,M,69016,9999-01-01
12663,Nobuyoshi,1954-10-31,Stellhorn,M,49966,9999-01-01
12664,Zhonghua,1952-05-01,Parveen,M,40000,9999-01-01
12803,Gad,1952-05-12,Boissier,M,91789,9999-01-01
12815,Sushant,1955-03-25,Junot,M,65073,9999-01-01
12689,Luerbio,1953-01-19,Boudaillier,M,59689,9999-01-01
12819,Mountaz,1953-07-30,Gubsky,M,48455,9999-01-01
12691,Oddvar,1952-10-17,Gils,M,48493,9999-01-01
12848,Kazuhide,1953-01-17,Smeets,M,40000,9999-01-01
12697,Uri,1955-06-25,Brizzi,M,40000,9999-01-01
12709,Ronghao,1955-08-09,Botman,M,45510,9999-01-01
12717,Tzu,1953-04-17,Jiafu,F,53194,9999-01-01
12863,Leif,1954-08-02,Matheson,M,62803,9999-01-01
12722,Elliott,1955-09-23,Cheshire,F,62325,9999-01-01
12726,Fumitake,1954-03-27,Panwar,M,61177,9999-01-01
12729,Nahla,1954-05-18,Rahier,F,51796,9999-01-01
12731,Yongmao,1953-05-09,Waymire,F,40000,9999-01-01
12732,Mara,1952-09-27,Takanami,M,74436,9999-01-01
12734,Gil,1952-03-05,Frijda,M,40000,9999-01-01
12872,Marl,1953-02-18,Schmittgen,F,56040,9999-01-01
12879,Baruch,1955-09-07,Eugenio,M,40000,9999-01-01
12755,Rildo,1955-02-20,Rodite,F,40196,9999-01-01
12890,Neven,1955-10-05,Casley,F,66803,9999-01-01
12893,Licheng,1954-10-09,Crouzet,M,50803,9999-01-01
12773,Jenwei,1952-06-26,Lovengreen,M,65556,9999-01-01
12895,Roddy,1952-04-28,Serot,M,40000,9999-01-01
12905,Munehiro,1955-01-24,Gecsei,M,58659,9999-01-01
12977,Byong,1954-11-29,Markovitch,M,61326,9999-01-01
12926,Heekeun,1952-04-24,Luby,M,68314,9999-01-01
12983,Elliott,1954-04-07,Hambrick,F,57252,9999-01-01
13030,Yahiko,1955-02-12,Kroll,M,51770,9999-01-01
13046,Vivian,1953-03-09,Stafford,M,40000,9999-01-01
13047,Atilio,1953-04-24,Chelton,M,52323,9999-01-01
12940,Odinaldo,1953-10-25,Farrar,F,49760,9999-01-01
13075,Rosella,1955-05-24,Morrin,M,40000,9999-01-01
13076,Deniz,1954-03-09,Skafidas,F,50582,9999-01-01
12941,Tommaso,1954-07-29,Perelgut,F,67069,9999-01-01
12949,Geoff,1955-02-24,Asrin,F,40000,9999-01-01
13096,Ibibia,1953-01-03,Armand,M,52544,9999-01-01
13103,Srinidhi,1952-05-09,Ellozy,F,40000,9999-01-01
13124,Quingbo,1955-11-06,Garnick,F,73785,9999-01-01
13133,Guther,1955-06-21,Senzako,M,67777,9999-01-01
13134,Lorien,1955-06-25,Chepyzhov,M,51227,9999-01-01
13144,Persi,1952-07-11,Nollmann,M,52825,9999-01-01
13332,Nidapan,1954-12-02,Pearson,F,40000,9999-01-01
13146,Haldon,1953-11-01,Erie,M,61398,9999-01-01
13147,Shichao,1955-12-28,Ginesta,M,77429,9999-01-01
13156,Akeel,1952-04-19,Millington,M,48285,9999-01-01
13165,Lucian,1954-09-09,Benner,F,42796,9999-01-01
13168,Munir,1954-06-10,Stentiford,F,49210,9999-01-01
13170,Cheong,1955-10-25,Bernardeschi,M,49012,9999-01-01
13171,Anoosh,1954-12-29,Birnbaum,M,40000,9999-01-01
13173,Arve,1953-04-20,Horswill,M,46354,9999-01-01
13179,Moty,1955-09-09,Janocha,M,90233,9999-01-01
13182,Kokou,1954-02-25,Rodite,M,46832,9999-01-01
13186,Kyoichi,1955-06-19,Barbanera,M,93138,9999-01-01
13192,Rosita,1953-01-28,Flowers,M,43986,9999-01-01
13202,Aram,1953-05-10,Scharstein,F,51915,9999-01-01
13210,Jianhua,1953-06-19,Klassen,M,83961,9999-01-01
13213,Hein,1954-12-29,Billawala,M,61131,9999-01-01
13333,Yoshinari,1953-07-17,Hennebert,M,50997,9999-01-01
13341,Bodh,1953-06-02,Doering,F,40000,9999-01-01
13232,Mitchel,1955-01-29,Fujisaki,F,40000,9999-01-01
13233,Alselm,1954-08-11,Chvatal,M,49414,9999-01-01
13343,Heon,1952-04-06,Usery,M,40000,9999-01-01
13238,Ebru,1953-02-23,Foote,F,40000,9999-01-01
13240,King,1955-02-14,Pileggi,M,49018,9999-01-01
13368,Kiyokazu,1953-12-29,Klassen,M,52872,9999-01-01
13250,Zeydy,1954-02-20,Schusler,M,47829,9999-01-01
13371,Nakhoon,1954-01-23,Riexinger,F,40000,9999-01-01
13272,Arun,1953-10-11,Jiang,F,40000,9999-01-01
13276,Yechiam,1955-05-07,Seuren,M,65836,9999-01-01
13373,Juichirou,1954-09-08,Naumovich,M,82749,9999-01-01
13385,Claudi,1954-11-15,Buchter,M,40000,9999-01-01
13288,Muneo,1952-08-24,Broomell,F,40000,9999-01-01
13291,Georg,1952-04-29,Stamatiou,M,54720,9999-01-01
13302,Mack,1954-06-21,Alencar,F,40000,9999-01-01
13386,Khosrow,1952-04-27,Sgarro,F,91420,9999-01-01
13389,Divine,1954-04-26,Cmelik,F,40000,9999-01-01
13315,Sakthirel,1955-09-08,Stroustrup,F,40000,9999-01-01
13392,Fumitake,1953-04-05,Beidas,F,69221,9999-01-01
13396,Chuanyi,1952-05-19,Aumann,F,40000,9999-01-01
13402,Augustine,1955-05-15,Dulli,M,40000,9999-01-01
13405,Randy,1954-01-19,Baba,F,60799,9999-01-01
13524,Chaoyi,1955-11-06,Porotnikoff,F,52849,9999-01-01
13535,Arunas,1954-12-25,Schlenzig,F,40000,9999-01-01
13546,Aimee,1955-02-22,Brookner,F,50295,9999-01-01
13549,Matk,1952-05-02,Koprowski,M,40000,9999-01-01
13552,Ingmar,1955-03-23,Capobianchi,M,73346,9999-01-01
13576,Jungsoon,1954-08-05,Engberts,F,73022,9999-01-01
13605,Dmitry,1953-08-02,Encarnacion,F,70404,9999-01-01
13621,Fei,1954-02-28,Haddadi,M,73192,9999-01-01
13624,Zhigen,1952-12-15,Yurek,M,40000,9999-01-01
13629,Dzung,1954-09-13,Trelles,M,40000,9999-01-01
13648,Zejun,1954-03-28,Lamba,F,47723,9999-01-01
13653,Kristen,1955-01-01,Iivonen,M,53242,9999-01-01
13670,Moti,1953-05-06,Takanami,F,40000,9999-01-01
13680,Denny,1953-08-08,Speer,M,46968,9999-01-01
13685,Weicheng,1954-05-02,Hockney,F,48322,9999-01-01
13697,Shuichi,1953-04-07,Weedon,M,40000,9999-01-01
13704,Vishu,1955-05-26,Kumaresan,F,40000,9999-01-01
13721,Sugwoo,1952-07-01,Delgrossi,F,64754,9999-01-01
13727,Vitali,1952-08-13,Merey,M,50798,9999-01-01
13407,Gio,1954-01-09,Chenoweth,M,60348,9999-01-01
13738,Bangqing,1953-02-05,Mitchem,F,48349,9999-01-01
13408,Sreekrishna,1954-12-27,Lagarias,M,52479,9999-01-01
13415,Nathalie,1955-06-23,Speer,F,61838,9999-01-01
13422,Vishwani,1952-08-20,Gerlach,F,59466,9999-01-01
13442,Giordano,1953-03-14,Miake,M,40000,9999-01-01
13443,Mayuko,1954-07-22,Puppo,M,40000,9999-01-01
13445,Renee,1954-12-22,Dehkordi,M,53194,9999-01-01
13451,Gretta,1952-03-21,Weiland,M,40000,9999-01-01
13766,Tremaine,1952-05-03,Heemskerk,M,43748,9999-01-01
13769,Yakichi,1955-10-07,Trogemann,F,61025,9999-01-01
13775,Arve,1955-06-30,Maierhofer,M,70161,9999-01-01
13457,Shooichi,1955-06-27,Parfitt,M,40812,9999-01-01
13458,Feipei,1954-12-21,Nivat,F,41375,9999-01-01
13786,Takushi,1952-02-27,Berendt,F,74494,9999-01-01
13463,Theron,1954-08-29,Berstel,F,40000,9999-01-01
13787,Xiaobin,1952-08-10,Sinicrope,F,40000,9999-01-01
13792,Valery,1953-05-06,Sury,M,59127,9999-01-01
13465,Sasan,1953-11-01,Rehfuss,M,49821,9999-01-01
13796,Paloma,1953-07-02,Thorelli,M,50962,9999-01-01
13493,Uinam,1954-09-08,Jullig,F,40000,9999-01-01
13809,Kiyotoshi,1953-07-05,Basagni,M,43735,9999-01-01
13815,Guadalupe,1953-04-19,Plotkin,M,40000,9999-01-01
13825,Arlette,1955-06-12,Pell,M,54704,9999-01-01
13504,Parto,1954-01-09,Mandell,F,41895,9999-01-01
13841,Christophe,1952-12-10,Spinelli,M,52277,9999-01-01
13842,Juichirou,1954-01-21,Cichocki,F,40000,9999-01-01
13846,Guiseppe,1952-08-01,Welham,M,61097,9999-01-01
13894,Ult,1952-11-15,Schonegge,F,48958,9999-01-01
13853,Mingsen,1952-03-10,Roohalamini,M,61615,9999-01-01
13859,Anoosh,1952-08-01,Fujisawa,M,40000,9999-01-01
13884,Kensei,1953-05-03,Swift,M,44785,9999-01-01
13904,Youngkon,1954-02-19,Cairo,M,73885,9999-01-01
13934,Shiv,1953-11-20,Bratsberg,F,46507,9999-01-01
13942,Elzbieta,1953-04-17,Esteva,M,40000,9999-01-01
13951,Mooi,1953-01-28,Genther,F,82054,9999-01-01
14088,Mori,1953-06-03,Leslie,M,44821,9999-01-01
13960,Nechama,1953-01-03,Hettesheimer,M,43204,9999-01-01
